,en,de
7569,People planting flowers outside in a circle.,Menschen pflanzen in einem Kreis im Freien Blumen.
7570,Two people in red shirts clean an alley.,Zwei Menschen in roten Hemden säubern eine Gasse.
7571,A woman smiles at a baby while an older couple looks on.,"Eine Frau lächelt ein Baby an, während ein älteres Paar zuschaut."
7572,Young children shoot baskets in the field.,Kleine Kinder werfen auf der Wiese Körbe.
7573,A man sitting in a green chair in front of a large window looking out onto a cityscape.,Ein Mann sitzt in einem grünen Stuhl vor einem großen Fenster mit Blick auf eine Stadtlandschaft.
7574,People are in a restaurant eating.,Menschen essen in einem Restaurant.
7575,The sun shines bright on the snow surrounding a few people.,"Die Sonne scheint hell auf den Schnee, der ein paar Leute umgibt."
7576,A young man is wearing a brown hat and sunglasses.,Ein junger Mann trägt einen braunen Hut und eine Sonnenbrille.
7577,Woman in red shirt and hot looks at trinkets at a table.,Frau in rotem Hemd und Hut schaut Nippes auf einem Tisch an.
7578,A crowd is watching a band perform on the sidewalk.,Eine Menschenmenge schaut einer Band beim Auftritt auf einem Gehsteig zu.
7579,Four people in bright blue water with a child in a pink inter tube.,Vier Menschen in leuchtend blauem Wasser mit einem Kind in pinkfarbenem Schwimmring.
7580,Several people stopped waiting for a train to pass.,"Mehrere Menschen warten darauf, dass ein Zug vorbeifährt."
7581,A group of greyhound dogs runs around a dirt track.,Eine Gruppe von Windhunden läuft einen unbefestigten Weg entlang.
7582,A boy in a yellow shirt running by some birds.,Ein Junge in gelbem Hemd läuft an ein paar Vögeln vorbei.
7583,A man is pulling a load of dirt down a narrow alley where a motorcycle is parked.,"Ein Mann zieht eine Ladung Erde durch eine enge Gasse, in der ein Motorrad steht."
7584,A curious child attempting to fish what nature flushed ashore with a beautiful ocean background.,"Ein neugieriges Kind versucht vor einem schönen Meereshintergrund das zu fischen, was die Natur an die Küste gespült hat."
7585,A man riding an orange and white motorcycle.,Ein Mann fährt auf einem orange-weißen Motorrad.
7586,The blond-haired woman is holding a black umbrella.,Die blonde Frau hält einen schwarzen Schirm.
7587,A woman with a cane carrying a bag walks along the sidewalk.,Eine Frau mit Stock trägt eine Tasche über den Gehsteig.
7588,A young indian mother is with her child.,Eine junge indische Mutter mit ihrem Kind.
7589,"A group of workers on a boardwalk wearing fluorescent vests, holding light wands.",Eine Gruppe von Arbeitern mit Leuchtwesten auf einem Uferweg hält Leuchtstäbe.
7590,A group of people getting ready for climbing a mountain.,"Eine Gruppe von Menschen bereitet sich darauf vor, einen Berg zu besteigen."
7591,A small dog is playing with a plastic bag on the sidewalk.,Ein kleiner Hund spielt mit einer Plastiktüte auf dem Gehsteig.
7592,A small dog jumps over a yellow beam.,Ein kleiner Hund springt über einen gelben Balken.
7593,A man holding a little girl up in the air outside.,Ein Mann hält ein kleines Mädchen im Freien in die Luft.
7594,People use the computer terminals at a modern library.,Menschen benutzen Computer in einer modernen Bibliothek.
7595,3 men are playing and riding on a vehicle made of musical instruments including a drum and a piano.,"Drei Männer spielen und fahren auf einem Fahrzeug, das aus Musikinstrumenten besteht, darunter Trommel und Klavier."
7596,A man vaults over a high bar.,Ein Mann macht Stabhochsprung über eine hohe Stange.
7597,A group of young people pose for a picture in a field,Eine Gruppe junger Menschen posiert für ein Foto auf einer Wiese.
7598,Man in board shorts is playing beach volleyball.,Männer in Boardshorts spielen Beachvolleyball.
7599,A young girl is hoping from stone to stone in her bare feet.,Ein kleines Mädchen hüpft barfuß von Stein zu Stein.
7600,These girls are having a great time looking for seashells.,Diese Mädchen amüsieren sich prächtig bei der Muschelsuche.
7601,Two people in a dense jungle area with trees and grass everywhere.,"Zwei Menschen in einem dichten Dschungelgebiet, überall Bäume und Gras."
7602,The man in the apron prepares the dining table.,Der Mann in der Schürze deckt den Esstisch.
7603,A little boy spays a hose at his brother who is on the other side of a window.,"Ein kleiner Junge hält einen Schlauch auf seinen Bruder, der hinter einem Fenster ist."
7604,Dogs racing around a curve in the track.,Hunde rennen auf der Rennstrecke um eine Kurve.
7605,Several preschool children stand looking through fence bars as two adults look on.,"Mehrere Vorschulkinder schauen zwischen Zaunlatten hindurch, während zwei Erwachsene zuschauen."
7606,A middle-aged man shines black leather shoes.,Ein Mann mittleren Alters poliert schwarze Lederschuhe.
7607,A couch sits broken while a man sits a table behind them.,"Eine kaputte Couch, dahinter sitzt ein Mann an einem Tisch."
7608,A group of people stand listening to a speaker.,Eine Gruppe von Menschen steht und hört einem Redner zu.
7609,A barefoot child is walking on the beach towards the ocean.,Ein barfüßiges Kind läuft am Strand aufs Meer zu.
7610,Four dogs splashing in the water,Vier Hunde planschen im Wasser.
7611,A man in a striped shirt poses with a blond girl in a black apron.,Ein Mann in gestreiftem Hemd posiert mit einem blonden Mädchen in einer schwarzen Schürze.
7612,A dog chasing a Frisbee into the water,Ein Hund jagt eine Frisbee im Wasser.
7613,"A guy drinking from a big silver cup, content of which is unknown.","Ein Typ trinkt aus einem großen Silberbecher, dessen Inhalt unbekannt ist."
7614,A little girl in a pink dress is walking outside.,Ein kleines Mädchen in einem pinkfarbenen Hemd läuft draußen herum.
7615,An Asian man holding a large number of bags looks across a street.,Ein asiatischer Mann hält eine große Anzahl von Taschen und blickt über die Straße.
7616,A woman with a white top with design on the front cleaning the white railing.,Eine Frau mit einem weißen Oberteil mit einem Muster auf der Vorderseite putzt das weiße Geländer.
7617,An elderly man with his hands placed upon some kind of barrel in a truck yard.,Ein älterer Mann hat auf einem Speditionshof die Hände auf eine Art Fass gelegt.
7618,An african american woman with 2 young girls.,Afroamerikanische Frau mit zwei kleinen Mädchen.
7619,Three older men playing live music in a grand hall.,Drei ältere Männer spielen in einer großen Halle Livemusik.
7620,Four teenagers are in a church playing their instruments.,Vier Teenager spielen in einer Kirche auf Instrumenten.
7621,A man in a mustard yellow jacket sits in front of water while reading.,Ein Mann in senffarbener Jacke sitzt vor dem Wasser und liest.
7622,The man is playing a stringed instrument on the ground.,Der Mann spielt auf dem Boden ein Saiteninstrument.
7623,A kid in a striped tank top skateboards down the street,Kid in gestreiftem Tanktop fährt auf dem Skateboard die Skateboard entlang.
7624,A girl in a crowd in holding on to a leashed sheep.,Ein Mädchen in einer Menschenmenge hält ein angeleintes Schaf.
7625,A man with a bike helmet and two young boys have just their heads peeking up from a pile of leaves.,"Mann mit Fahrradhelm und zwei kleine Jungen, deren Köpfe aus einem Blätterhaufen herausragen."
7626,A baby is eating aqua-colored cake very messily.,Ein Kleinkind isst sehr unordentlich blauen Kuchen.
7627,Two children are sitting outside at a table with popcorn all over it.,"Zwei Kinder sitzen draußen an einem Tisch, der voll mit Popcorn ist."
7628,A man with a blue jacket look at items.,Ein Mann in einer blauen Jacke guckt Gegenstände an.
7629,A man wearing a white collared shirt on the water.,Ein Mann in einem weißen Hemd mit Kragen auf dem Wasser.
7630,A couple takes a break from dancing.,Ein Paar macht eine Pause vom Tanzen.
7631,"A group of people, including a barefoot woman with white shorts, a black jacket and backpack wait for a light rail train.","Eine Gruppe von Menschen, darunter eine barfüßige Frau mit weißen Shorts, einer schwarzen Jacke und Rucksack, warten auf einen Nahverkehrszug."
7632,Two little boys play in the water left behind by the sprinklers.,Zwei kleine Jungen spielen im Wasser aus dem Wassersprenger.
7633,Two men are putting plaster on a building.,Zwei Männer verputzen ein Gebäude.
7634,A child plays in a multicolored fountain.,Ein Kind spielt in einem farbenfrohen Brunnen.
7635,A child is floating on a raft and splashing in a pool.,Ein Kind auf einer Luftmatratze in einem Schwimmbecken spritzt mit Wasser.
7636,Man in white juggling with a bike against the wall.,"Mann in Weiß jongliert, Fahrrad lehnt an der Wand."
7637,Four boys are about to be hit by an approaching wave.,Vier Jungen werden gleich von einer heranrollenden Welle getroffen.
7638,A group of people standing on the sidewalk and looking across the street.,Eine Gruppe von Menschen steht auf dem Gehsteig und blickt über die Straße.
7639,"A man, wearing a white t-shirt and jeans, sits on two stacked crates while playing a guitar for tips.",Ein Mann in einem weißen T-Shirt und Jeans sitzt auf zwei übereinander gestapelten Kisten und spielt für Trinkgeld Gitarre.
7640,A girl is swinging over waves on a rope swing.,Ein Mädchen schaukelt auf einer Seilschaukel über Wellen.
7641,A little girl in a yellow shirt runs through a fountain in a busy park,Ein kleines Mädchen in gelbem Hemd rennt in einem belebten Park durch eine Fontäne.
7642,A band playing in a bar in front of a crowd.,Eine Band spielt in einer Bar vor Publikum.
7643,"A child sits on a pink, flowered couch and reads a book.",Ein Kind sitzt auf einer pinkfarbenen geblümten Couch und liest ein Buch.
7644,Two women are working in a kitchen.,Zwei Frauen arbeiten in einer Küche.
7645,A young child with wild curly hair sits on a chair and shows off his Legos.,Ein kleines Kind mit wildem Lockenhaar sitzt auf einem Stuhl und zeigt seine Legos.
7646,A street performer and his guitar painted completely blue.,Ein Straßenkünstler und seine Gitarre vollständig blau angemalt.
7647,Two boys are skateboarding in front of an office building.,Zwei Jungen fahren vor einem Bürogebäude Skateboard.
7648,Two men playing guitars on stage,Zwei Männer spielen Gitarre auf einer Bühne.
7649,A man crashes into the water with his parachute.,Ein Mann stürzt mit seinem Fallschirm ins Wasser.
7650,A woman helping a child out of the swimming pool.,Eine Frau hilft einem Kind aus dem Schwimmbecken.
7651,"A woman, a boy, and a dog are walking up a hill.","Eine Frau, ein Junge und ein Hund gehen einen Hügel hinauf."
7652,"A man is playing golf, striking his ball out of a sand bunker.",Ein Mann spielt Golf und schlägt den Ball aus einem Sandbunker hinaus.
7653,A man in jeans is sleeping with a red mask covering his eyes.,Ein Mann in Jeans schläft mit einer roten Maske über den Augen.
7654,There are two greyhounds racing around a dirt track.,Zwei Windhunde rennen über einen unbefestigten Weg.
7655,An Indian male is drinking something from a clay looking cup.,"Ein indischer Mann trinkt etwas aus einem Becher, der offenbar aus Ton ist."
7656,Man taking a break under a umbrella leaning against truck.,Mann lehnt an einem Lkw und macht Pause unter einem Schirm.
7657,A man wearing a pink shirt and white pants in mid jump playing a guitar.,Ein Mann in pinkfarbenem Hemd und weißer Hose spielt Gitarre und ist mitten im Sprung.
7658,Woman on bench looking at cloudy mountain view.,Frau auf einer Bank blickt auf eine wolkige Bergansicht.
7659,"Two women both in sandals, one in a green hat is tying the other woman's dress strap.","Zwei Frauen, beide in Sandalen, eine mit grünem Hut schließt das Kleid der anderen Frau."
7660,A woman in a black shirt looking at a bicycle.,Eine Frau in schwarzem Hemd schaut ein Fahrrad an.
7661,A woman in an orange sweatshirt is holding a glass in her hand.,Eine Frau in orangefarbenem Pullover hat ein Glas in der Hand.
7662,Two young boys drinking at home.,Zwei kleine Jungen trinken zuhause.
7663,A rock band is playing in a dimly lit bar.,Eine Rockbar spielt in einer spärlich beleuchteten Bar.
7664,A dog rolls in the grass.,Ein Hund wälzt sich im Gras.
7665,A blond-haired boy wearing a red shirt and red shorts climbing a tree.,Ein blonder Junge in rotem Hemd und roten Shorts klettert auf einen Baum.
7666,A man stands on a ladder to take a picture with his cellphone.,"Ein Mann steht auf einer Leiter, um mit seinem Mobiltelefon ein Foto zu machen."
7667,Several women wearing white shoes and sandals walk through a street festival.,Mehrere Frauen in weißen Schuhen oder Sandalen laufen über ein Straßenfest.
7668,A man is hammering an anvil.,Ein Mann schlägt auf einen Amboss.
7669,A little girl offers a ball to an upset toddler on a grassy field while a man in bermuda shorts stands behind them.,"Ein kleines Mädchen bietet einem traurigen Kleinkind auf einer Wiese einen Ball an, hinter ihnen steht ein Mann in Bermudashorts"
7670,Black dog playing with a white and blue toy.,Schwarzer Hund spielt mit weiß-blauem Spielzeug.
7671,A man drives a truck while a child sits on his lap and steers.,Ein Mann fährt einen Lkw und auf seinem Schoß sitzt ein Kind und lenkt.
7672,Two young girls dressed in their Sunday's best peer over a fence.,Zwei kleines Mädchen in Sonntagskleidung linsen über einen Zaun.
7673,A man walks toward a policeman standing in a crosswalk on a city street.,"Ein Mann geht auf einen Polizisten zu, der auf einem Fußgängerübergang einer städtischen Straße steht."
7674,A man stands on a sidewalk between a grass lawn and building,Ein Mann steht auf einem Gehsteig zwischen einer Wiese und einem Gebäude.
7675,A man in a white shirt and blue jeans walking across concrete.,Ein Mann in weißem Hemd und blauen Shorts läuft über Beton.
7676,Woman sorting bucket of food.,Frau sortiert einen Behälter mit Essen.
7677,A man is drawing on the street while another man videotapes it.,"Ein Mann malt auf der Straße, ein anderer Mann filmt dies."
7678,A man is selling food at a street stand.,Ein Mann verkauft Essen an einem Straßenstand.
7679,The boy is sitting in the lap of the car's driver and helping to steer.,Der Junge sitzt auf dem Schoß des Fahrers und hilft beim Lenken.
7680,A woman shows a man something on her cellphone in the middle of a crowded street.,Eine Frau zeigt einem Mann mitten auf einer belebten Straße etwas auf ihrem Mobiltelefon.
7681,A group of people are sitting next to each other with some wearing white shirts and blue vests with yellow sashes and the others wearing large fluffy white hats with a pink fluffy top.,"Eine Gruppe von Menschen, die nebeneinander sitzen und von denen einige weiße Hemden und blaue Westen mit gelben Schärpen tragen und die andere große flauschige weiße Hüte mit einem pinkfarbenen flauschigen Oberteil."
7682,Men and Women in traditional dresses attending something.,Männer und Frauen in traditioneller Kleidung besuchen etwas.
7683,A small boy is playing with a gun on the sidewalk outside.,Ein  kleiner Junge spielt mit einer Schusswaffe im Freien auf dem Gehsteig.
7684,A woman is working at a food stand in the city.,Eine Frau arbeitet an einem Essensstand in der Stadt.
7685,A person retrieving something from a bag on a cooking counter.,Ein Mensch nimmt etwas aus einer Tasche auf einem Küchentresen.
7686,A street with many advertisements.,Eine Straße mit viel Werbung.
7687,A asian women walks to a pillar next to a building.,Eine asiatische Frau geht zu einer Säule neben einem Gebäude.
7688,A man is getting ready to hit a tennis ball.,"Ein Mann kurz davor, einen Tennisball zu schlagen."
7689,A child in a blue shirt is wearing a wristwatch.,Ein Kind in blauem Hemd trägt eine Armbanduhr.
7690,Two men sitting on opposite sides of a bus stop,Zwei Männer sitzen an gegenüberliegenden Seiten einer Bushaltestelle.
7691,"A man, woman, and little girl walk along a boardwalk beside a calm sea.","Ein Mann, eine Frau und ein kleines Mädchen gehen einen Uferweg neben einem ruhigen Meer entlang."
7692,A balding man helps a young boy fish.,Ein Mann mit Glatzenansatz hilft einem kleinen Jungen beim Fischen.
7693,A couple is enjoying the view of the water while sitting on a patio.,Ein Paar sitzt auf einer Terrasse und genießt den Blick aufs Wasser.
7694,A man sits in a chair while holding a large pole.,Ein Mann sitzt auf einem Stuhl und hält eine große Stange.
7695,A group of Middle Eastern people walking through the snow.,Eine Gruppe von Menschen aus Nahost gehen durch den Schnee.
7696,A girl sitting on a man's lap on a passenger train,Ein Mädchen sitzt in einem Personenzug auf dem Schoß eines Mannes.
7697,A small child is stirring food with a red spoon on a kitchen counter.,Ein kleines Kind rührt mit einem roten Löffel Essen auf einem Küchentresen.
7698,How do we get to the other side?,Wie kommen wir zur anderen Seite?
7699,The man and woman are hugging and kissing near musicians performing.,"Der Mann und die Frau umarmen und küssen sich in der Nähe von Musikern, die auftreten."
7700,This woman is playing an instrument.,Diese Frau spielt ein Instrument.
7701,A dog is jumping over a bush on the beach.,Ein Hund springt über einen Busch am Strand.
7702,A boy jumps from a high rock cliff to the water below.,Ein Junge springt von einer hohen Felsklippe ins Wasser darunter.
7703,A boy is skim boarding in a backyard pool while two other men watch.,"Ein Junge beim Skimboarden in einem Hinterhof-Schwimmbecken, zwei andere Männer schauen zu."
7704,A man singing in front of a big heart.,Ein Mann singt vor einem großen Herz.
7705,A dog jumps to try to catch a yellow tennis ball on a patio.,"Ein Hund springt auf einer Terrasse hoch, um einen gelben Ball zu fangen."
7706,A man is bending down and digging in a white bag.,Ein Mann beugt sich hinunter und wühlt in einer weißen Tüte.
7707,A woman standing in front of a beach scene and smiling.,Eine Frau steht vor einer Strandszenerie und lächelt.
7708,A man with black glasses plays a black guitar.,Ein Mann mit schwarzer Brille spielt auf einer schwarzen Gitarre.
7709,This small child is sitting behind the steering wheel of a car.,Dieses kleine Kind sitzt hinter dem Lenkrad eines Autos.
7710,A dog takes off running on the sand.,Ein Hund rennt los über den Sand.
7711,A young girl showing her purple tongue,Ein kleines Mädchen zeigt ihre lilafarbene Zunge.
7712,A large group of people gathered outside.,Eine große Gruppe von Menschen ist im Freien versammelt.
7713,Someone standing on a red ball and a girl standing in front wearing a tiger print shirt.,Jemand steht auf einem roten Ball und davor steht ein Mädchen in einem Hemd mit Tigermotiv.
7714,A bicyclist jumping with his bike in midair,Ein Radfahrer springt mit seinem Fahrrad in der Luft.
7715,A blond woman holds an object in her mouth and a pink toothbrush in her hand while sitting in front of a brightly colored couch.,Eine blonde Frau mit einem Gegenstand im Mund und einer pinkfarbenen Zahnbürste in der Hand sitzt vor einer leuchtend bunten Couch.
7716,Two people on the top of a cliff,Zwei Menschen oben auf einer Klippe.
7717,The black dog is in the water on the shore.,Der schwarze Hund ist im Wasser an der Küste.
7718,A boy does a toe touch in front of a tree.,Ein Junge macht vor einem Baum einen Toe-Touch.
7719,A man climbing the rocky face of a mountain.,Ein Mann klettert die felsige Seite eines Berges hoch.
7720,A little boy runs around while others look at a stage.,"Ein kleiner Junge rennt herum, während andere auf eine Bühne schauen."
7721,An old woman in a black dress holds a loaf of bread outside a door.,Eine alte Frau in einem schwarzen Kleid mit einem Brotlaib vor einer Tür.
7722,People walking around a downtown area of a city.,Menschen gehen in einem Innenstadtbereich entlang.
7723,Four men are hanging out in front of a building.,Vier Männer faulenzen vor einem Gebäude.
7724,A woman in a pink blouse conversing with an amused male caucasian.,Eine Frau in pinkfarbener Bluse unterhält sich mit einem belustigten hellhäutigen Mann.
7725,A man in a black vest and colorful tie draws the attention of a crowd near an outdoor diner.,Ein Mann in schwarzer Weste und bunter Krawatte zieht die Aufmerksamkeit einer Menschenmenge in der Nähe eines Restaurants im Freien auf sich.
7726,A young woman rests her head on a man's shoulder.,Eine junge Frau legt ihren Kopf auf die Schulter eines Mannes.
7727,"An older women in several layers of clothes knits an item as, she sits near a set of stairs.",Eine ältere Frau in mehreren Schichten Kleidung sitzt bei einer Treppe und strickt einen Gegenstand.
7728,A man carrying a broom and dustpan is watching while a young boy is shining a woman's shoe.,"Ein Mann mit Schaufel und Besen in der Hand sieht zu, wie ein kleiner Junge den Schuh einer Frau putzt."
7729,3 men in t-shirt and shorts sitting on the grass eating food.,Drei Männer in T-Shirts und Shorts sitzen auf dem Gras und essen Speisen.
7730,A child's legs while squeezing through a dog door.,Das Bein eines Kindes drängt sich durch eine Hundetür.
7731,Red shirted worker climbs ladder to peer into a container perched on a forklift.,"Arbeiter in rotem Hemd klettert eine Leiter hinauf, um in einen Behälter auf einem Gabelstapler hineinzuschauen."
7732,A girl with blond-hair is jumping off a tire swing,Ein Mädchen mit blondem Haar springt von einer Reifenschaukel.
7733,A young woman putting on a dance for a small audience.,Eine junge Frau tanzt für ein kleines Publikum.
7734,Children and Moms sitting in a crescent on the floor.,Kinder und Mütter sitzen im Halbkreis auf dem Boden.
7735,A gray-haired woman turns the pages of a book for a circle of children sitting in blue chairs.,Eine grauhaarige Frau blättert für einen Kreis von Kindern auf blauen Stühlen die Seiten eines Buches um.
7736,Children eat at a long table with black chairs.,Kinder essen an einem langen Tisch mit schwarzen Stühlen.
7737,A woman with braided hair is sitting at a table full of food and gesturing.,Eine Frau mit geflochtenem Haar sitzt an einem Tisch voll Essen und gestikuliert.
7738,A snowboarder uses a ramp to grind a rail.,"Ein Snowboardfahrer nutzt eine Rampe, um über ein Geländer zu grinden."
7739,A yellow and brown dog is going to the bathroom outside.,Ein gelb-brauner Hund macht im Freien sein Geschäft.
7740,A man wearing a yellow coat stands at the peak of a mountain.,Ein Mann in gelbem Mantel steht auf dem Gipfel eines Berges.
7741,A stout gentleman does not know how to use his umbrella.,"Ein beleibter Herr weiß nicht, wie er seinen Schirm benutzen soll."
7742,A man sitting on a chair in the middle of a group.,Ein Mann sitzt in der Mitte einer Gruppe auf einem Stuhl.
7743,A woman at a backyard party is jumping rope on the grass.,Eine Frau macht bei einem Hoffest Seilspringen im Gras.
7744,A woman sitting at a picnic table is holding a baby.,Eine Frau sitzt an einem Picknicktisch und hält ein Baby.
7745,Men in red bowties are singing in a choir.,Männer mit roten Fliegen singen in einem Chor.
7746,A boy jumps into a pool.,Ein Junge springt in einen Pool.
7747,A young infant in a white top crying.,Ein Baby in weißem Oberteil schreit.
7748,"A man in a blue shirt, writing on a chalkboard.",Ein Mann in blauem Hemd schreibt auf einer Tafel.
7749,A man with gray gloves holds his hands to his ears on a stairwell.,Ein Mann mit grauen Handschuhen hält auf einer Treppe die Hände an die Ohren.
7750,A young man breakdancing on a cobblestone road with many people watching him.,Ein junger Mann macht Breakdance auf einer Pflasterstraße und viele Menschen schauen zu.
7751,A man walking while holding a hat on a stick.,Ein Mann geht und hält dabei einen Hut auf einem Stock.
7752,A brunette woman tastes her edible creation from a bowl.,Eine brünette Frau probiert ihre essbare Schöpfung aus einer Schüssel.
7753,A large tan dog is running with a green item in its mouth,Ein großer hellbrauner Hund rennt mit einem grünen Gegenstand im Maul.
7754,A security officer looks out over some water where there are lights.,Ein Sicherheitsbeauftragter schaut über ein Gewässer mit Lichtern.
7755,A toddler is with wet hair stands by swimming pool wrapped in a towel.,Ein Kleinkind mit nassem Haar steht in ein Handtuch gewickelt an einem Schwimmbecken.
7756,These mountains the couple is looking at our beautiful.,"Die Berge, die das Paar ansieht, sind wunderschön."
7757,A gentleman on the phone at his desk while a child sits on his lap and draws on a sheet of paper,"Ein Herr telefoniert an seinem Schreibtisch, während ein Kind auf seinem Schoß sitzt und auf einem Blatt Papier malt."
7758,"Girl in red, with striped tights, playing violin outside of building.",Mädchen in Rot mit gestreifter Strumpfhose spielt vor einem Gebäude Geige.
7759,Many black dogs run in a grassy area.,Viele schwarze Hunde rennen über eine Grasfläche.
7760,A woman smiling as she works a machine.,Eine Frau arbeitet an einer Maschine und lächelt.
7761,A young girl is rock climbing while being securely tethered from above.,Ein kleines Mädchen klettert und ist sicher von oben angeseilt.
7762,A light brown dog is poking his head into brush.,Ein hellbrauner Hund steckt den Kopf in Gestrüpp.
7763,A man and a woman are walking past benches that overlook the water.,Ein Mann und eine Frau gehen an Bänken mit Blick auf das Wasser vorbei.
7764,A tennis player moving to hit the oncoming tennis ball.,"Ein Tennisspieler macht eine Bewegung, um den herankommenden Tennisball zu schlagen."
7765,A man in a gray shirt and black pants is playing tennis.,Ein Mann in grauem Hemd und schwarzer Hose spielt Tennis.
7766,A young lady is doing some tennis training.,Eine junge Dame beim Tennistraining.
7767,Male child playing on round contained ride in the park by himself.,"Männliches Kind spielt allein in einem runden, geschlossenen Spielgerät im Park."
7768,A woman at a cafe is drinking coffee while doing paperwork.,Eine Frau in einem Café trinkt Kaffee und macht dabei Schreibarbeit.
7769,A person in a red hat carrying a giant bowl of ice cream with several cones sicking out of it.,"Ein Mensch mit einem roten Hut trägt eine riesige Eiscremschüssel, aus der mehrere Eiswaffeln herausragen."
7770,Three women sit around a raised fire pit cooking skewered young pigs.,Drei Frauen sitzen um eine erhöhte Feuerstelle herum und grillen aufgespießte Ferkel.
7771,A person is holding onto a bicycle in the air with his body in flight position.,"Ein Mensch hält sich, den Körper in Flugposition, in der Luft an einem Fahrrad fest."
7772,"Two men talking with each other while sitting at a table, and one is holding a partially-opened book.","Zwei Männer sitzen an einem Tisch und reden miteinander, einer hält ein halb geöffnetes Buch."
7773,A man with a red hat on sits on a stool on the side of the road.,Ein Mann mit einem roten Hut auf dem Kopf sitzt auf einem Stuhl am Straßenrand.
7774,A dog bounds across the brown grass.,Ein Hund hüpft durchs braune Gras.
7775,A man is doing a back flip whilst attempting a jump on a bicycle.,"Ein Mann macht bei dem Versuch, auf ein Fahrrad zu springen, einen Backflip."
7776,A baby in a green bag peeks out.,Ein Baby in einem grünen Beutel linst hinaus.
7777,A man with gray hair is putting a black collared shirt over a white button-up shirt while several other men watch.,"Ein Mann mit grauem Haar zieht ein schwarzes Kragenhemd über ein weißes knöpfbares Hemd, während mehrere andere Männer zuschauen."
7778,A band plays bathed in stage lights.,"Eine Band spielt, in Bühnenlicht getaucht."
7779,A man in a black jacket plays a black electric guitar and sings.,Ein Mann in einer schwarzen Jacke spielt auf einer schwarzen E-Gitarre und singt.
7780,A smiling person with a brightly colored Mohawk hairstyle.,Ein lächelnder Mensch mit einer knallbunten Irokesenfrisur.
7781,A large white poodle is walking on the grass carrying a sandal.,Ein großer weißer Pudel läuft mit einer Sandale im Maul übers Gras.
7782,Two girls hold up their younger sister.,Zwei Mädchen halten ihre jüngere Schwester hoch.
7783,A man in a kilt is playing an instrument in front of a storefront.,Ein Mann in einem Kilt spielt ein Instrument vor einem Schaufenster.
7784,A little boy drinks water from the green hose.,Ein kleiner Junge trinkt Wasser aus dem grünen Schlauch.
7785,"A woman is riding a bike down a city sidewalk, as men in long suit coats stand around with a line of other people.","Eine Frau fährt auf einem städtischen Gehsteig Fahrrad, während Männer in langen Anzugjacken mit einer Reihe anderer Menschen herumstehen."
7786,A lone surfer riding a huge wave in the ocean.,Ein einzelner Surfer surft auf einer hohen Welle im Meer.
7787,A boy wearing an orange shirt has his hair sticking straight up from his head.,Ein Junge in orangefarbenem Hemd hat hochstehende Haare.
7788,A young girl in a pink dress stares at a metro newspaper rack.,Ein kleines Mädchen in einem pinkfarbenen Kleid schaut einen U-Bahn-Zeitungsständer an.
7789,"Two people are standing in shallow water, waving sparklers around",Zwei Menschen stehen in seichtem Wasser und schwingen Wunderkerzen durch die Luft.
7790,Two women in an agricultural landscape sorting crop.,Zwei Frauen in ländlicher Gegen sortieren Getreide.
7791,A man on a four-wheeler jumps while in a field.,Ein Mann auf einem Vierradfahrzeug springt in einem Feld.
7792,Women riding a moped and a motorized bike.,Frauen fahren Moped und E-Fahrrad.
7793,A lady is holding an umbrella behind what looks too be a waterfall.,"Eine Dame hält einen Schirm hinter etwas, das wie ein Wasserfall aussieht."
7794,A man and woman standing at a counter with food.,Ein Mann und eine Frau stehen mit Essen an einer Theke.
7795,A cowboy stands near two sheep and a dog at a rodeo.,Ein Cowboy steht bei einem Rodeo in der Nähe von zwei Schafen und einem Hund.
7796,"Three men outdoors smiling, drinking beer, and taking pictures.","Drei Männer im Freien lächeln, trinken Bier und machen Fotos."
7797,A young woman in a tank top is smoking a cigarette while holding two bocce balls.,Eine junge Frau in einem Tanktop raucht eine Zigarette und hält zwei Bocciakugeln.
7798,A few people on a canoe in the water.,Ein paar Menschen im Wasser auf einem Kanu.
7799,A man with dreadlocks smiles while sitting in a dj booth.,Ein Mann mit Dreadlocks sitzt in einer DJ-Kabine und lächelt.
7800,A man is pouring something in a cup from a beverage machine.,Ein Mann gießt etwas aus einem Getränkeautomaten in einen Becher.
7801,"A man wearing a shirt that says ""money talks"" is drinking water while leaning against a Verizon truck.","Ein Mann in einem Hemd mit der Aufschrift „money talks“ trinkt, an einen Verizon-Laster gelehnt, Wasser."
7802,A large brown dog sniffs a small white dog's behind.,Ein großer brauner Hund schnüffelt am Hinter eines kleinen weißen Hundes.
7803,"Two blond girls in white dresses, one much smaller than the other, stand on the bank of a large body of water.","Zwei blonde Mädchen in weißen Kleidern, eine deutlich kleiner als die andere, stehen am Ufer einer großen Wasserfläche."
7804,Man with arm around girlfriend's shoulder as they watch something.,Mann hat den Arm um die Schulter der Freundin gelegt und die beiden schauen etwas an.
7805,A man is sitting inside of a mailbox with a phone in his hand.,Ein Mann sitzt in einem Briefkasten mit einem Telefon in der Hand.
7806,A black dog is in a dog race.,Ein schwarzer Hund bei einem Hunderennen.
7807,Two women are standing next to each other and laughing.,Zwei Frauen stehen nebeneinander und lachen.
7808,A girl and her child walking next to a mountain.,Ein Mädchen und ihr Kind gehen neben einem Berg entlang.
